what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405298048961
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405298049086
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1405298068040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405298071784
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405298073968
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405298073968
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405298074015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1405298084015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1405298088149
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405298091955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405298091955
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405298092002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298093468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298093811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298096697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298136758
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298139240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298219160
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405298246351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1405298246351
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1405298246383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298408935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298438176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298457973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298462372
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1405298462387
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1405298466896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298489063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298490982
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1405298491216
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1405298491575
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1405298491575
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1405298491575
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1405298491575
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1405298491591
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1405298491591
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1405298491591
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1405298491591
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1405341096182
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1405341096182
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1405341096198
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1405341096198
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1405341096198
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1405341096198
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1405341096198
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1405341096198
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1405341096198
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1405341096198
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1405341096198
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1405341096198
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1405341096198
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1405341096198
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1405341096198
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1405341096198
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1405341096198
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1405341096198
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1405341096198
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1405341096198
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1405341096198
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1405341096198
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1405341096213
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1405341096213
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1405341096213
